1
10
11
12
3
4
5
6
7
8
A Lưới
Phú Xuân
Phúc Thọ
Phúc Yên
Phước Long
Phước Sơn
Phổ Yên
Phụng Hiệp
Phủ Lý
Pleiku
Pác Nặm
Quan Hóa
Quan Sơn
Quang Bình
Quy Nhơn
Quản Bạ
Quảng Hòa
Quảng Ngãi
Quảng Ninh
Quảng Trạch
Quảng Xương
Quảng Điền
Quế Phong
Quế Sơn
Quốc Oai
Quỳ Châu
Quỳ Hợp
Quỳnh Lưu
Quỳnh Nhai
Quỳnh Phụ
Rạch Giá
Sa Thầy
Sa Đéc
Si Ma Cai
Sìn Hồ
Sóc Sơn
Sóc Trăng
Sông Công
Sông Hinh
Sông Lô
Sông Mã
Sơn Dương
Sơn Hà
Sơn Hòa
Sơn La
Sơn Trà
Sơn Tây
Sơn Tịnh
Sơn Động
Sầm Sơn
Số lượng : 696
Sốp Cộp
Tam Bình
Tam Dương
Tam Kỳ
Tam Nông
Tam Điệp
Tam Đường
Tam Đảo
Than Uyên
Thanh Ba
Thanh Bình
Thanh Chương
Thanh Hà
Thanh Hóa
Thanh Khê
Thanh Liêm
Thanh Miện
Thanh Oai
Thanh Sơn
Thanh Thuỷ
Thanh Trì
Thanh Xuân
Thiệu Hóa
Thoại Sơn
Thuận An
Thuận Bắc
Thuận Châu
Thuận Hóa
Thuận Nam
Thuỷ Nguyên
Bắc Kạn
Đồng Hới
Thái Bình
Thái Nguyên
Thái Thụy
Tháp Mười
Thăng Bình
Thường Tín
Thường Xuân
Thạch An
Thạch Hà
Thạch Thành
Thạch Thất
Thạnh Hóa
Thạnh Phú
Thạnh Trị
Buôn Hồ
Mường Lay
Việt Yên
An Khê
An Nhơn
Ayun Pa
Ba Đồn
Bình Long
Bình Minh
Bỉm Sơn
Cai Lậy
Chũ
Chơn Thành
Duy Tiên
Duyên Hải
Giá Rai
Hoài Nhơn
Hoàng Mai
Hòa Thành
Hương Thủy
Hương Trà
Hồng Lĩnh
Kim Bảng
Kinh Môn
Kiến Tường
Kỳ Anh
La Gi
Long Mỹ
Mộc Châu
Mỹ Hào
Nghi Sơn
Nghĩa Lộ
Ngã Năm
Ninh Hòa
Phong Điền
Phú Thọ
Phước Long
Quảng Trị
Quảng Yên
Quế Võ
Sa Pa
Sông Cầu
Sơn Tây
Thuận Thành
Thái Hoà
Trảng Bàng
Tân Châu
Tịnh Biên
Vĩnh Châu
Điện Bàn
Đông Hòa
Đức Phổ
Thọ Xuân
Thống Nhất
Thốt Nốt
Thới Bình
Thới Lai
Thủ Dầu Một
Thủ Thừa
Thủ Đức
Tiên Du
Tiên Lãng
Tiên Lữ
Tiên Phước
Tiên Yên
Tiền Hải
Tiểu Cần
Tri Tôn
Triệu Phong
Triệu Sơn
Trà Bồng
Trà Cú
Trà Vinh
Trà Ôn
Tràng Định
Trùng Khánh
Trường Sa
Trạm Tấu
Trảng Bom
Trấn Yên
Trần Văn Thời
Trần Đề
Trực Ninh
Tu Mơ Rông
Tuy An
Tuy Hoà
Tuy Phong
Tuy Phước
Tuy Đức
Tuyên Hóa
Tuyên Quang
Tuần Giáo
Tánh Linh
Tân An
Tân Biên
Tân Bình
Tân Châu
Tân Hiệp
Tân Hưng
Tân Hồng
Tân Kỳ
Tân Lạc
Tân Phú
Tân Phú Đông
Tân Phước
Tân Sơn
Tân Thạnh
Tân Trụ
Tân Uyên
Tân Yên
Tây Giang
Tây Hoà
Tây Hồ
Tây Ninh
Tây Sơn
Tư Nghĩa
Tương Dương
Tủa Chùa
Tứ Kỳ
Từ Sơn
U Minh
U Minh Thượng
Uông Bí
Vinh
Việt Trì
Vân Canh
Vân Hồ
Vân Đồn
Võ Nhai
Văn Bàn
Văn Chấn
Văn Giang
Văn Lâm
Văn Lãng
Văn Quan
Văn Yên
Vĩnh Bảo
Vĩnh Cửu
Vĩnh Hưng
Vĩnh Linh
Vĩnh Long
Vĩnh Lộc
Vĩnh Lợi
Vĩnh Thuận
Vĩnh Thạnh
Vĩnh Tường
Vĩnh Yên
Vũ Quang
Vũ Thư
Vũng Liêm
Vũng Tàu
Vạn Ninh
Vị Thanh
Vị Thuỷ
Vị Xuyên
Vụ Bản
Xuyên Mộc
Xuân Lộc
Xuân Trường
Xín Mần
Yên Bái
Yên Bình
Yên Châu
Yên Khánh
Yên Lạc
Yên Lập
Yên Minh
Yên Mô
Yên Mỹ
Yên Phong
Yên Sơn
Yên Thành
Yên Thế
Yên Thủy
Yên Định
Ân Thi
Ô Môn
Ý Yên
Đa Krông
Đam Rông
Đan Phượng
Điện Biên
Điện Biên Phủ
Điện Biên Đông
Đoan Hùng
Đà Bắc
Đà Lạt
Đình Lập
Đô Lương
Đông Anh
Đông Giang
Đông Hà
Đông Hưng
Đông Hải
Đông Triều
Đăk Glong
Đăk Pơ
Đăk Đoa
Đơn Dương
Đạ Huoai
Đại Lộc
Đại Từ
Đầm Dơi
Đầm Hà
Đắk Glei
Đắk Hà
Đắk Mil
Đắk R'Lấp
Đắk Song
Đắk Tô
Định Hóa
Định Quán
Đống Đa
Đồ Sơn
Đồng Hỷ
Đồng Phú
Đồng Văn
Đồng Xoài
Đồng Xuân
Đức Cơ
Đức Huệ
Đức Hòa
Đức Linh
Đức Thọ
Đức Trọng
Ứng Hòa
